,29,行业产能,生产,中国,1000000,2019-01-31 00:00:00
0,29,行业产能,生产,美国,2000000.0,2017-02-28 00:00:00
1,29,行业产能,生产,英国,2500000.0,2017-03-31 00:00:00
2,29,行业产能,生产,中国,1000000.0,2017-04-30 00:00:00
3,29,行业产能,生产,美国,2000000.0,2017-05-31 00:00:00
4,29,行业产能,生产,英国,2500000.0,2017-06-30 00:00:00
5,29,行业产能,生产,中国,1000000.0,2017-07-31 00:00:00
6,29,行业产能,生产,美国,2000000.0,2017-08-31 00:00:00
7,29,行业产能,生产,英国,2500000.0,2017-09-30 00:00:00
8,29,行业产能,生产,中国,1000000.0,2017-10-31 00:00:00
9,29,行业产能,生产,美国,2000000.0,2017-11-30 00:00:00
10,29,行业产能,生产,英国,2500000.0,2017-12-31 00:00:00
11,29,行业产能,生产,中国,1000000.0,2018-01-31 00:00:00
12,29,行业产能,生产,美国,2000000.0,2018-02-28 00:00:00
13,29,行业产能,生产,英国,2500000.0,2018-03-31 00:00:00
14,29,行业产能,生产,中国,1000000.0,2018-04-30 00:00:00
15,29,行业产能,生产,美国,2000000.0,2018-05-31 00:00:00
16,29,行业产能,生产,英国,2500000.0,2018-06-30 00:00:00
17,29,行业产能,生产,中国,1000000.0,2018-07-31 00:00:00
18,29,行业产能,生产,美国,2000000.0,2018-08-31 00:00:00
19,29,行业产能,生产,英国,2500000.0,2018-09-30 00:00:00
20,29,行业产能,生产,英国,2500000.0,2018-10-31 00:00:00
21,29,行业产能,生产,中国,1000000.0,2018-11-30 00:00:00
22,29,行业产能,生产,美国,2000000.0,2018-12-31 00:00:00
23,29,行业产能,生产,英国,2500000.0,2019-01-31 00:00:00
24,29,行业产能,生产,中国,1000000.0,2019-02-28 00:00:00
25,29,行业产能,生产,美国,2000000.0,2019-03-31 00:00:00
26,29,行业产能,生产,英国,2500000.0,2019-04-30 00:00:00
27,29,行业产能,生产,英国,2500000.0,2019-05-31 00:00:00
28,29,行业产能,生产,中国,1000000.0,2019-06-30 00:00:00
29,29,行业产能,生产,美国,2000000.0,2019-07-31 00:00:00
30,29,原油产量,生产,中国,1000000.0,2017-04-30 00:00:00
31,29,原油产量,生产,美国,2000000.0,2017-05-31 00:00:00
32,29,原油产量,生产,英国,2500000.0,2017-06-30 00:00:00
33,29,原油产量,生产,中国,1000000.0,2017-07-31 00:00:00
34,29,原油产量,生产,美国,2000000.0,2017-08-31 00:00:00
35,29,原油产量,生产,英国,2500000.0,2017-09-30 00:00:00
36,29,原油产量,生产,中国,1000000.0,2017-10-31 00:00:00
37,29,原油产量,生产,美国,2000000.0,2017-11-30 00:00:00
38,29,原油产量,生产,英国,2500000.0,2017-12-31 00:00:00
39,29,原油产量,生产,中国,1000000.0,2018-01-31 00:00:00
40,29,原油产量,生产,美国,2000000.0,2018-02-28 00:00:00
41,29,原油产量,生产,英国,2500000.0,2018-03-31 00:00:00
42,29,原油产量,生产,中国,1000000.0,2018-04-30 00:00:00
43,29,原油产量,生产,美国,2000000.0,2018-05-31 00:00:00
44,29,原油产量,生产,英国,2500000.0,2018-06-30 00:00:00
45,29,原油产量,生产,中国,1000000.0,2018-07-31 00:00:00
46,29,原油产量,生产,美国,2000000.0,2018-08-31 00:00:00
47,29,原油产量,生产,英国,2500000.0,2018-09-30 00:00:00
48,29,原油产量,生产,中国,1000000.0,2018-10-31 00:00:00
49,29,原油产量,生产,美国,2000000.0,2018-11-30 00:00:00
50,29,原油产量,生产,英国,2500000.0,2018-12-31 00:00:00
51,29,原油产量,生产,中国,1000000.0,2019-01-31 00:00:00
52,29,原油产量,生产,美国,2000000.0,2019-02-28 00:00:00
53,29,原油产量,生产,英国,2500000.0,2019-03-31 00:00:00
54,29,原油产量,生产,中国,1000000.0,2019-04-30 00:00:00
